date,direction,speed
2019-01-14,216,10.0
2019-01-15,201,10.0
2019-01-16,208,12.0
2019-01-17,213,10.0
2019-01-18,214,11.0
2019-01-19,214,11.0
2019-01-20,209,10.0
2019-01-21,220,10.0
2019-01-22,268,9.0
2019-01-23,311,14.0
2019-01-24,297,12.0
2019-01-25,284,11.0
2019-01-26,278,8.0
2019-01-27,174,8.0
2019-01-28,202,9.0
2019-01-29,196,12.0
2019-01-30,199,11.0
2019-01-31,239,10.0
2019-02-01,224,11.0
2019-02-02,265,11.0
2019-02-03,219,10.0
2019-02-04,205,11.0
2019-02-05,219,11.0
2019-02-06,257,10.0
2019-02-07,308,16.0
2019-02-08,317,17.0
2019-02-09,303,13.0
2019-02-10,264,10.0
2019-02-11,290,10.0
2019-02-12,216,11.0
2019-02-13,217,12.0
2019-02-14,241,9.0
2019-02-15,270,10.0
2019-02-16,299,13.0
2019-02-17,296,10.0
2019-02-18,271,9.0
2019-02-19,235,9.0
2019-02-20,263,10.0
2019-02-21,270,10.0
2019-02-22,270,11.0
2019-02-23,261,11.0
2019-02-24,237,10.0
2019-02-25,243,12.0
2019-02-26,288,13.0
2019-02-27,283,13.0
2019-02-28,297,14.0
2019-03-01,303,12.0
2019-03-02,281,10.0
2019-03-03,301,13.0
2019-03-04,301,14.0
2019-03-05,294,13.0
2019-03-06,303,14.0
2019-03-07,304,14.0
2019-03-08,266,9.0
2019-03-09,255,11.0
2019-03-10,230,10.0
2019-03-11,270,11.0
2019-03-12,315,12.0
2019-03-13,318,11.0
2019-03-14,297,12.0
2019-03-15,257,9.0
2019-03-16,259,9.0
2019-03-17,272,10.0
2019-03-18,250,9.0
2019-03-19,250,10.0
2019-03-20,253,10.0
2019-03-21,271,11.0
2019-03-22,283,13.0
2019-03-23,261,8.0
2019-03-24,236,8.0
2019-03-25,238,9.0
2019-03-26,207,10.0
2019-03-27,242,9.0
2019-03-28,258,9.0
2019-03-29,231,7.0
2019-03-30,234,8.0
2019-03-31,239,8.0
2019-04-01,238,8.0
2019-04-02,265,9.0
2019-04-03,273,9.0
2019-04-04,232,8.0
2019-04-05,249,9.0
2019-04-06,286,10.0
2019-04-07,272,11.0
2019-04-08,249,9.0
2019-04-09,272,8.0
2019-04-10,279,9.0
2019-04-11,266,8.0
2019-04-12,277,9.0
2019-04-13,244,7.0
2019-04-14,235,8.0
2019-04-15,228,9.0
2019-04-16,242,9.0
2019-04-17,292,13.0
2019-04-18,307,18.0
2019-04-19,285,13.0
2019-04-20,276,10.0
2019-04-21,268,10.0
2019-04-22,295,14.0
2019-04-23,268,10.0
2019-04-24,287,13.0
2019-04-25,289,10.0
2019-04-26,270,9.0
2019-04-27,257,7.0
2019-04-28,221,9.0
2019-04-29,227,8.0
2019-04-30,259,10.0
2019-05-01,264,9.0
2019-05-02,272,10.0
2019-05-03,276,10.0
2019-05-04,282,10.0
2019-05-05,298,15.0
2019-05-06,291,14.0
2019-05-07,285,14.0
2019-05-08,293,15.0
2019-05-09,297,16.0
2019-05-10,310,19.0
2019-05-11,298,16.0
2019-05-12,294,15.0
2019-05-13,296,14.0
2019-05-14,289,14.0
2019-05-15,287,14.0
2019-05-16,294,14.0
2019-05-17,295,15.0
2019-05-18,293,13.0
2019-05-19,257,9.0
2019-05-20,243,10.0
2019-05-21,266,9.0
2019-05-22,298,10.0
2019-05-23,269,10.0
2019-05-24,268,9.0
2019-05-25,283,13.0
2019-05-26,284,13.0
2019-05-27,288,12.0
2019-05-28,309,11.0
2019-05-29,294,14.0
2019-05-30,292,15.0
2019-05-31,268,11.0
2019-06-01,198,8.0
2019-06-02,259,10.0
2019-06-03,263,9.0
2019-06-04,283,10.0
2019-06-05,288,14.0
2019-06-06,293,13.0
2019-06-07,281,12.0
2019-06-08,174,12.0
2019-06-09,201,12.0
2019-06-10,165,24.0
2019-06-11,182,32.0
2019-06-12,223,27.0
2019-06-13,229,20.0
2019-06-14,228,15.0
2019-06-15,216,11.0
2019-06-16,222,11.0
2019-06-17,235,10.0
2019-06-18,213,10.0
2019-06-19,251,11.0
2019-06-20,261,10.0
2019-06-21,241,13.0
2019-06-22,141,13.0
