date,direction,speed
2014-09-08,214,7.0
2014-09-09,81,8.0
2014-09-10,142,8.0
2014-09-11,158,6.0
2014-09-12,289,7.0
2014-09-13,212,9.0
2014-09-14,179,6.0
2014-09-15,234,9.0
2014-09-16,277,6.0
2014-09-17,241,8.0
2014-09-18,295,11.0
2014-09-19,270,11.0
2014-09-20,230,10.0
2014-09-21,223,8.0
2014-09-22,306,10.0
2014-09-23,247,10.0
2014-09-24,189,14.0
2014-09-25,239,20.0
2014-09-26,187,16.0
2014-09-27,105,10.0
2014-09-28,108,7.0
2014-09-29,180,13.0
2014-09-30,288,8.0
2014-10-01,114,8.0
2014-10-02,122,7.0
2014-10-03,217,11.0
2014-10-04,309,12.0
2014-10-05,135,9.0
2014-10-06,169,28.0
2014-10-07,173,9.0
2014-10-08,217,7.0
2014-10-09,195,9.0
2014-10-10,264,13.0
2014-10-11,338,13.0
2014-10-12,151,9.0
2014-10-13,173,13.0
2014-10-14,242,26.0
2014-10-15,191,11.0
2014-10-16,74,7.0
2014-10-17,272,17.0
2014-10-18,234,10.0
2014-10-19,224,10.0
2014-10-20,208,15.0
2014-10-21,208,15.0
2014-10-22,142,14.0
2014-10-23,33,13.0
2014-10-24,157,5.0
2014-10-25,203,8.0
2014-10-26,209,11.0
2014-10-27,279,14.0
2014-10-28,293,23.0
2014-10-29,266,14.0
2014-10-30,223,9.0
2014-10-31,199,6.0
2014-11-01,175,12.0
2014-11-02,208,10.0
2014-11-03,285,24.0
2014-11-04,286,13.0
2014-11-05,211,8.0
2014-11-06,215,7.0
2014-11-07,311,16.0
2014-11-08,242,8.0
2014-11-09,152,5.0
2014-11-10,292,14.0
2014-11-11,136,6.0
2014-11-12,164,8.0
2014-11-13,274,28.0
2014-11-14,268,16.0
2014-11-15,284,18.0
2014-11-16,275,11.0
2014-11-17,205,7.0
2014-11-18,301,15.0
2014-11-19,304,11.0
2014-11-20,221,5.0
2014-11-21,192,5.0
2014-11-22,262,7.0
2014-11-23,312,12.0
2014-11-24,244,8.0
2014-11-25,185,13.0
2014-11-26,60,23.0
2014-11-27,292,13.0
2014-11-28,219,8.0
2014-11-29,206,14.0
2014-11-30,64,10.0
